iso3,year,month,country_role,funding_usd,flow_count,has_cerf,has_echo,sector_mix
SLV,2024,10,tier1,1769341,3,0,0,Health | Protection | Unearmarked
SLV,2024,11,tier1,251678,2,0,0,Emergency Shelter and NFI | Protection
SLV,2024,12,tier1,470000,1,0,0,Protection
SUR,2020,8,tier1,346286,1,0,0,Health
SUR,2020,12,tier1,18114,1,0,0,Health
SUR,2021,6,tier1,15723,1,0,0,Multi-sector
SUR,2022,8,tier1,219780,1,0,0,Unearmarked
SUR,2023,12,tier1,92234,1,0,0,Multi-sector
SUR,2024,6,tier1,4627282,1,0,0,Other
SUR,2024,11,tier1,65227,1,0,0,Multi-sector
TTO,2019,2,tier1,1490313,1,0,0,Multi-sector
TTO,2019,3,tier1,6982110,5,0,0,Multi-sector
TTO,2019,4,tier1,2258603,5,0,0,Multi-sector | Unearmarked
TTO,2019,5,tier1,3182883,3,0,0,Multi-sector | Unearmarked
TTO,2019,6,tier1,3806222,7,0,1,Coordination and support services | Health | Multi-sector | Unearmarked
TTO,2019,7,tier1,3344192,3,0,1,Multi-sector | Unearmarked
TTO,2019,9,tier1,1336248,1,0,0,Coordination and support services
TTO,2019,10,tier1,3674916,3,0,1,Emergency Shelter and NFI | Multi-sector
TTO,2020,1,tier1,666473,1,0,0,Protection
TTO,2020,2,tier1,2237787,9,0,0,Multi-sector
TTO,2020,3,tier1,1142682,3,0,0,Multi-sector | Unearmarked
TTO,2020,4,tier1,8200100,7,0,0,Coordination and support services | Health | Multi-sector | Unearmarked
TTO,2020,5,tier1,3713721,7,0,0,Education | Multi-sector | Protection | Protection - Child Protection | Unearmarked
TTO,2020,6,tier1,12462035,9,0,0,Food Security | Multi-sector | Unearmarked
TTO,2020,7,tier1,7585819,5,0,1,Multi-sector | Protection | Unearmarked
TTO,2020,8,tier1,382286,1,0,0,Health
TTO,2020,9,tier1,123601,2,0,0,Early Recovery | Multi-sector
TTO,2020,11,tier1,3060347,5,0,0,Multi-sector | Unearmarked
TTO,2020,12,tier1,480486,2,0,0,Multi-sector | Unearmarked
TTO,2021,1,tier1,361486,7,0,0,Early Recovery | Unearmarked
TTO,2021,2,tier1,7728133,6,0,0,Unearmarked
TTO,2021,3,tier1,463373,9,0,0,Education | Multi-sector | Unearmarked
TTO,2021,4,tier1,588658,7,0,0,Unearmarked
TTO,2021,6,tier1,7622200,18,0,1,Coordination and support services | Early Recovery | Emergency Shelter and NFI | Food Security | Health | Protection | Protection - Child Protection | Protection - Gender-Based Violence | Protection - Human Trafficking & Smuggling | Unearmarked
TTO,2021,7,tier1,2082772,7,0,0,Unearmarked
TTO,2021,8,tier1,4,1,0,0,Unearmarked
TTO,2021,9,tier1,39412,1,0,0,Early Recovery
TTO,2022,1,tier1,5134230,7,0,0,Coordination and support services | Early Recovery | Emergency Shelter and NFI | Food Security | Protection - Gender-Based Violence | Unearmarked
