DisNo.,ISO,Country,Disaster Type,Disaster Subtype,Associated Types,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",AID Contribution ('000 US$),Event Name,Location,ISO3,country_role,disaster_category,event_year,event_month,year_month,log_affected,log_deaths,norm_affected,norm_deaths,severity_score,severity_data_flag
2024-0816-PAN,PAN,Panama,Storm,Severe weather,"Flood|Slide (land, mud, snow, rock)",2024,11,1.0,2024,11,3.0,7.0,,3895.0,,3895.0,110000.0,110000.0,,,"Los Santos, Herrera, Veraguas, Chiriquí, Bocas del Toro and Ngöbé Bugle provinces",PAN,tier1,storm,2024,11,2024-11,8.267705664762426,2.0794415416798357,0.5391650409067507,0.2647623340874051,0.402,ok
2024-0822-COL,COL,Colombia,Storm,Tropical cyclone,,2024,11,6.0,2024,11,10.0,1.0,,,,,150000.0,150000.0,,Tropical cyclone 'Rafael',,COL,pressure_input,storm,2024,11,2024-11,0.0,0.6931471805599453,0.0,0.08825411136246838,0.0441,ok
2024-0822-CRI,CRI,Costa Rica,Storm,Tropical cyclone,,2024,11,6.0,2024,11,10.0,,,,,,980.0,980.0,,Tropical cyclone 'Rafael',,CRI,tier1,storm,2024,11,2024-11,0.0,0.0,0.0,0.0,0.0,no_impact_data
2024-0822-CUB,CUB,Cuba,Storm,Tropical cyclone,,2024,11,6.0,2024,11,7.0,,,4000000.0,,4000000.0,1080000.0,1080000.0,,Tropical cyclone 'Rafael',"Havana, Mayabeque, sla de la Juventud, Artemisa provinces",CUB,tier1,storm,2024,11,2024-11,15.201805169084134,0.0,0.9913611149437578,0.0,0.4957,ok
2024-0822-JAM,JAM,Jamaica,Storm,Tropical cyclone,,2024,11,6.0,2024,11,10.0,2.0,,,,,8000.0,8000.0,,Tropical cyclone 'Rafael',,JAM,tier1,storm,2024,11,2024-11,0.0,1.0986122886681098,0.0,0.1398794570439813,0.0699,ok
2024-0835-COL,COL,Colombia,Storm,Severe weather,"Flood|Slide (land, mud, snow, rock)",2024,10,15.0,2024,11,11.0,,,254253.0,,254253.0,,,,,"Alto Baudó, Atrato, Bagadó, Bahía Solano, Bajo Baudó, Bojayá, Carmen del Darién, Litoral de San Juan, itsmina, Juradó, Medio Atrato, Rio Quito, Riosucio, Nóvita, Unguía, Lloró, El Cantón de San Pablo, Nuquí, Medio San Juan (Choco); Manaure, Maicao, Riohacha, Uribia, Dibulla (La Guajira); San Vicente de Chucurí (Santander); Bogota",COL,pressure_input,storm,2024,10,2024-10,12.446089046333757,0.0,0.8116515490381127,0.0,0.4058,ok
2024-0848-CUB,CUB,Cuba,Earthquake,Ground movement,"Slide (land, mud, snow, rock)",2024,11,10.0,2024,11,10.0,,7.0,6000.0,,6007.0,,,,,"Bartolomé Masó, Pilón and Niquero municipalities (Granma province)",CUB,tier1,earthquake,2024,11,2024-11,8.700847193443972,0.0,0.5674116645166526,0.0,0.2837,ok
2024-0856-DOM,DOM,Dominican Republic,Flood,Flood (General),,2024,11,10.0,2024,11,12.0,,,15000.0,,15000.0,,,,,"Duarte, El Seibo, Espaillat, Hato Mayor, La Altagracia, Maria Trinidad Sanches, Puerto Plata, Samanà",DOM,tier1,flood,2024,11,2024-11,9.61587214452889,0.0,0.627083535430622,0.0,0.3135,ok
2024-0856-HTI,HTI,Haiti,Flood,Flood (General),,2024,11,10.0,2024,11,12.0,,,17790.0,,17790.0,,,,,"Les Cayes, Torbeck, Saint-Louis-du-Sud, Maniche and Port-Salut municipalities",HTI,tier1,flood,2024,11,2024-11,9.786447990434775,0.0,0.6382073630878555,0.0,0.3191,ok
2024-0857-BLZ,BLZ,Belize,Storm,Tropical cyclone,,2024,11,15.0,2024,11,18.0,,,162.0,,162.0,,,,Cyclone 'Sara',,BLZ,tier1,storm,2024,11,2024-11,5.093750200806762,0.0,0.33218067342334023,0.0,0.1661,ok
2024-0857-CRI,CRI,Costa Rica,Storm,Tropical cyclone,,2024,11,15.0,2024,11,16.0,,,3418.0,,3418.0,,,,Cyclone 'Sara',,CRI,tier1,storm,2024,11,2024-11,8.137103389639302,0.0,0.5306480249576473,0.0,0.2653,ok
2024-0857-DOM,DOM,Dominican Republic,Storm,Tropical cyclone,Flood,2024,11,17.0,2024,11,18.0,2.0,,15000.0,,15000.0,,,,Cyclone 'Sara',"Duarte, El Seibo, Espaillat, Hato Mayor, La Altagracia, Maria Trinidad Sanches, Puerto Plata, Samanà",DOM,tier1,storm,2024,11,2024-11,9.61587214452889,1.0986122886681098,0.627083535430622,0.1398794570439813,0.3835,ok
2024-0857-GTM,GTM,Guatemala,Storm,Tropical cyclone,"Flood|Slide (land, mud, snow, rock)",2024,11,15.0,2024,11,17.0,,,50240.0,,50240.0,,,,Cyclone 'Sara',"Petén, Izabal, and northern Alta Verapaz",GTM,tier1,storm,2024,11,2024-11,10.824586705402588,0.0,0.7059078988130332,0.0,0.353,ok
2024-0857-HND,HND,Honduras,Storm,Tropical cyclone,,2024,11,15.0,2024,11,17.0,2.0,,127716.0,,127716.0,,,,Cyclone 'Sara',"Sula Valley,",HND,tier1,storm,2024,11,2024-11,11.757572157670921,1.0986122886681098,0.7667510347366575,0.1398794570439813,0.4533,ok
2024-0857-HTI,HTI,Haiti,Storm,Tropical cyclone,,2024,11,17.0,2024,11,18.0,1.0,,,,,,,,Cyclone 'Sara',,HTI,tier1,storm,2024,11,2024-11,0.0,0.6931471805599453,0.0,0.08825411136246838,0.0441,ok
2024-0857-NIC,NIC,Nicaragua,Storm,Tropical cyclone,,2024,11,17.0,2024,11,18.0,2.0,,,,,,,,Cyclone 'Sara',,NIC,tier1,storm,2024,11,2024-11,0.0,1.0986122886681098,0.0,0.1398794570439813,0.0699,ok
2024-0857-SLV,SLV,El Salvador,Storm,Tropical cyclone,"Flood|Slide (land, mud, snow, rock)",2024,11,15.0,2024,11,16.0,,,480.0,,480.0,,,,Cyclone 'Sara',,SLV,tier1,storm,2024,11,2024-11,6.175867270105761,0.0,0.4027491863326896,0.0,0.2014,ok
