iso3,year,month,source_country,source_org,dest_org,sector,amount_usd,is_cerf,is_echo,country_role
COL,2019,6,Multilateral,Ford Foundation,Norwegian Refugee Council,Multi-sector,66059,False,False,pressure
COL,2019,6,Norway,"Norway, Government of",Save the Children,Multi-sector,39284,False,False,pressure
COL,2019,6,United States,"United States of America, Government of",Save the Children,Protection - Child Protection,20000,False,False,pressure
COL,2019,6,Multilateral,Central Emergency Response Fund,International Organization for Migration,Protection,18422,True,False,pressure
COL,2019,6,Private,Private (individuals & organizations),United Nations High Commissioner for Refugees,Unearmarked,556,False,False,pressure
COL,2019,6,Colombia,United Nations Children's Fund,United Nations Children's Fund,Multi-sector,188,False,False,pressure
COL,2019,7,United States,"United States of America, Government of",United Nations High Commissioner for Refugees,Multi-sector,6500000,False,False,pressure
COL,2019,7,Japan,"Japan, Government of",United Nations High Commissioner for Refugees,Multi-sector,2492668,False,False,pressure
COL,2019,7,United States,"United States of America, Government of",United Nations Children's Fund,Multi-sector,2036880,False,False,pressure
COL,2019,7,Multilateral,Education Cannot Wait Fund,Save the Children,Education,1982175,False,False,pressure
COL,2019,7,Multilateral,European Commission's Humanitarian Aid and Civil Protection Department,United Nations Children's Fund,Multi-sector,1931818,False,True,pressure
COL,2019,7,Multilateral,United Nations High Commissioner for Refugees,International Organization for Migration,Multi-sector,1407331,False,False,pressure
COL,2019,7,Sweden,"Sweden, Government of",United Nations Children's Fund,Multi-sector,1077702,False,False,pressure
COL,2019,7,Japan,"Japan, Government of",International Organization for Migration,Multi-sector,781522,False,False,pressure
COL,2019,7,New Zealand,"New Zealand, Government of",International Committee of the Red Cross,Unearmarked,669344,False,False,pressure
COL,2019,7,Norway,"Norway, Government of",HALO Trust,Protection - Mine Action,570646,False,False,pressure
COL,2019,7,Multilateral,Oxfam,Oxfam,Multi-sector,454545,False,False,pressure
COL,2019,7,France,"France, Government of",United Nations High Commissioner for Refugees,Multi-sector,375000,False,False,pressure
COL,2019,7,New Zealand,"New Zealand, Government of",United Nations High Commissioner for Refugees,Unearmarked,334672,False,False,pressure
COL,2019,7,Colombia,Mercy Corps,Mercy Corps,Multi-sector,146626,False,False,pressure
COL,2019,7,Colombia,"Colombia, Government of",International Organization for Migration,Multi-sector,104446,False,False,pressure
COL,2019,7,Germany,"Germany, Government of",Caritas Germany (DCV),Multi-sector,101156,False,False,pressure
COL,2019,7,Multilateral,The Church of Jesus Christ of Latter-Day Saints,Mercy Corps,Multi-sector,8580,False,False,pressure
COL,2019,7,Multilateral,,Mercy Corps,Multi-sector,1929,False,False,pressure
COL,2019,8,United States,"United States of America, Government of",World Food Programme,Multi-sector,20000000,False,False,pressure
COL,2019,8,United States,"United States of America, Government of",Mercy Corps,Multi-sector,1566939,False,False,pressure
COL,2019,8,Colombia,Mercy Corps,Mercy Corps,Multi-sector,121368,False,False,pressure
COL,2019,8,Multilateral,United States Fund for UNICEF,United Nations Children's Fund,Multi-sector,100000,False,False,pressure
COL,2019,8,Multilateral,World Vision USA,World Vision International,Multi-sector,77886,False,False,pressure
COL,2019,8,Sweden,"Sweden, Government of",International Organization for Migration,Protection - Gender-Based Violence,36768,False,False,pressure
COL,2019,8,Multilateral,,Mercy Corps,Multi-sector,9066,False,False,pressure
COL,2019,8,Multilateral,The Church of Jesus Christ of Latter-Day Saints,Mercy Corps,Multi-sector,8213,False,False,pressure
COL,2019,9,United States,"United States of America, Government of",Norwegian Refugee Council,Protection,1850624,False,False,pressure
COL,2019,9,Multilateral,UN Multi-Partner Trust Fund,Food and Agriculture Organization of the United Nations,Agriculture,1706660,False,False,pressure
