iso3,year,month,funding_usd,ocha_data_flag
DOM,2023,2023-04-01,1115702.25,ocha_reported
DOM,2023,2023-05-01,1115702.25,ocha_reported
DOM,2023,2023-06-01,1115702.25,ocha_reported
DOM,2023,2023-07-01,1115702.25,ocha_reported
DOM,2023,2023-08-01,1115702.25,ocha_reported
DOM,2023,2023-09-01,1115702.25,ocha_reported
DOM,2023,2023-10-01,1115702.25,ocha_reported
DOM,2023,2023-11-01,1115702.25,ocha_reported
DOM,2023,2023-12-01,1115702.25,ocha_reported
DOM,2024,2024-01-01,1112030.75,ocha_reported
DOM,2024,2024-02-01,1112030.75,ocha_reported
DOM,2024,2024-03-01,1112030.75,ocha_reported
DOM,2024,2024-04-01,1112030.75,ocha_reported
DOM,2024,2024-05-01,1112030.75,ocha_reported
DOM,2024,2024-06-01,1112030.75,ocha_reported
DOM,2024,2024-07-01,1112030.75,ocha_reported
DOM,2024,2024-08-01,1112030.75,ocha_reported
DOM,2024,2024-09-01,1112030.75,ocha_reported
DOM,2024,2024-10-01,1112030.75,ocha_reported
DOM,2024,2024-11-01,1112030.75,ocha_reported
DOM,2024,2024-12-01,1112030.75,ocha_reported
GTM,2019,2019-01-01,1892440.75,ocha_reported
GTM,2019,2019-02-01,1892440.75,ocha_reported
GTM,2019,2019-03-01,1892440.75,ocha_reported
GTM,2019,2019-04-01,1892440.75,ocha_reported
GTM,2019,2019-05-01,1892440.75,ocha_reported
GTM,2019,2019-06-01,1892440.75,ocha_reported
GTM,2019,2019-07-01,1892440.75,ocha_reported
GTM,2019,2019-08-01,1892440.75,ocha_reported
GTM,2019,2019-09-01,1892440.75,ocha_reported
GTM,2019,2019-10-01,1892440.75,ocha_reported
GTM,2019,2019-11-01,1892440.75,ocha_reported
GTM,2019,2019-12-01,1892440.75,ocha_reported
GTM,2020,2020-01-01,4569395.08,ocha_reported
GTM,2020,2020-02-01,4569395.08,ocha_reported
GTM,2020,2020-03-01,4569395.08,ocha_reported
GTM,2020,2020-04-01,4569395.08,ocha_reported
