Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO",Refugees,Asylum-seekers,IDPs,"Other people in need of international protection","Stateless persons","Host community","Others of concern"
2023,Cyprus,Colombia,CYP,COL,0,5,0,0,0,0,0
2023,Czechia,Colombia,CZE,COL,5,0,0,0,0,0,0
2023,Denmark,Colombia,DNK,COL,5,18,0,0,0,0,0
2023,"Dominican Rep.",Colombia,DOM,COL,0,24,0,0,0,0,0
2023,Ecuador,Colombia,ECU,COL,59358,3856,0,0,0,0,0
2023,Finland,Colombia,FIN,COL,8,85,0,0,0,0,0
2023,France,Colombia,FRA,COL,1821,844,0,0,0,0,0
2023,"United Kingdom of Great Britain and Northern Ireland",Colombia,GBR,COL,27,1375,0,0,0,0,0
2023,Germany,Colombia,DEU,COL,199,4322,0,0,0,0,0
2023,Greece,Colombia,GRC,COL,0,8,0,0,0,0,0
2023,Guatemala,Colombia,GTM,COL,10,62,0,0,0,0,0
2023,Honduras,Colombia,HND,COL,5,5,0,0,0,0,3499
2023,Croatia,Colombia,HRV,COL,0,5,0,0,0,0,0
2023,Iceland,Colombia,ISL,COL,7,35,0,0,0,0,0
2023,Ireland,Colombia,IRL,COL,5,12,0,0,0,0,0
2023,Israel,Colombia,ISR,COL,0,167,0,0,0,0,0
2023,Italy,Colombia,ITA,COL,1218,2602,0,0,0,0,0
2023,Luxembourg,Colombia,LUX,COL,0,100,0,0,0,0,0
2023,Mexico,Colombia,MEX,COL,556,4495,0,0,0,0,1804
2023,Malta,Colombia,MLT,COL,0,26,0,0,0,0,0
2023,"Netherlands (Kingdom of the)",Colombia,NLD,COL,370,787,0,0,0,0,0
2023,Nicaragua,Colombia,NIC,COL,6,0,0,0,0,0,0
2023,Norway,Colombia,NOR,COL,105,246,0,0,0,0,0
2023,"New Zealand",Colombia,NZL,COL,36,27,0,0,0,0,0
2023,Panama,Colombia,PAN,COL,1686,908,0,0,0,0,0
2023,Paraguay,Colombia,PRY,COL,21,292,0,0,0,0,0
2023,Peru,Colombia,PER,COL,748,3857,0,0,0,0,11659
2023,Poland,Colombia,POL,COL,5,10,0,0,0,0,0
2023,Portugal,Colombia,PRT,COL,17,210,0,0,0,0,0
2023,"El Salvador",Colombia,SLV,COL,16,17,0,0,0,0,0
2023,Spain,Colombia,ESP,COL,3475,76500,0,0,0,0,0
2023,Suriname,Colombia,SUR,COL,0,6,0,0,0,0,0
2023,Sweden,Colombia,SWE,COL,43,237,0,0,0,0,0
2023,Switzerland,Colombia,CHE,COL,335,294,0,0,0,0,0
2023,"Sint Maarten (Dutch part)",Colombia,SXM,COL,5,13,0,0,0,0,0
