iso3,flow_id,source_org,source_country,dest_org,dest_country,description,sector,amount_usd,funding_status,boundary,dest_usage_year,flow_date
SLV,302648,"Switzerland, Government of",Switzerland,ETH Foundation,Honduras,Disaster Risk Reduction (DRR),Other,29380,commitment,incoming,2022,2024-01-12
SLV,303475,"Switzerland, Government of",Switzerland,ETH Foundation,Honduras,Disaster Risk Reduction (DRR),Other,159969,commitment,incoming,2022,2024-01-12
SLV,303476,"Switzerland, Government of",Switzerland,ETH Foundation,Honduras,Disaster Risk Reduction (DRR),Other,7861,paid,incoming,2022,2024-01-12
SLV,303477,"Switzerland, Government of",Switzerland,ETH Foundation,Honduras,Disaster Risk Reduction (DRR),Other,249998,paid,incoming,2022,2024-01-12
SLV,303482,"Switzerland, Government of",Switzerland,Office for the Coordination of Humanitarian Affairs,Nicaragua,Disaster Risk Reduction (DRR),Other,497988,paid,incoming,2022,2022-06-22
SLV,303490,"Switzerland, Government of",Switzerland,Norwegian Refugee Council,Nicaragua,"Honduras and El Salvador: NRC Educational and protective communities for children,adolescents and youth in contexts of violence in Hnduras and El Salvador   , multi-year 2020-2023, 2022 portion, total amount CHF 380,000 (7F-09892.02 )",Protection,345446,paid,incoming,2022,2019-12-31
SLV,344187,UN Trust Fund to End Violence against Women,,Asociación Comunicando y Capacitando a Mujeres Trans con VIH en El Salvador,El Salvador,"Multi-Sector - GBV Programming
Construyendo entornos seguros y protectores para las mujeres LBTQ   [Buildiing safe and protected spaces for the LBTQ women]",Protection - Gender-Based Violence,142177,paid,incoming,2022,2025-05-22
SLV,203738,"Switzerland, Government of",Switzerland,Norwegian Refugee Council,Nicaragua,"Honduras and El Salvador: NRC Educational and protective communities for children,adolescents and youth in contexts of violence in Hnduras and El Salvador   , multi-year 2020-2023, 2023 portion, total amount CHF 20,000 (7F-09892.02 )",Protection,88991,paid,incoming,2023,2019-12-31
SLV,246850,"Switzerland, Government of",Switzerland,International NGOs (Confidential),El Salvador,Emergency food assistance,Food Security,8084,commitment,incoming,2023,2022-02-10
SLV,246867,"Switzerland, Government of",Switzerland,ETH Foundation,Guatemala,"Earthquake Early Warning in Central America. DRR, Disaster prevention and preparedness	SCO Managua, multiyear 2022-2024. 2023 portion total amount CHF 336,500 
(7F-10885.01)",Other,372752,paid,incoming,2023,2022-02-10
SLV,251177,European Commission's Humanitarian Aid and Civil Protection Department,,Norwegian Refugee Council,El Salvador,Multi-sector assistance to people affected by other situations of violence (OSV) and People in Need of International Protection (PNIP) in North of Central America and Mexico.,,88806,commitment,incoming,2023,2021-03-31
SLV,264985,"United States of America, Government of",United States,Catholic Relief Services,El Salvador,"El Salvador/Food Security Water, Sanitation and Hygiene,Economic Recovery and Market Systems,Multipurpose Cash Assistance,Agriculture",Food Security,5000000,commitment,incoming,2023,2022-04-01
SLV,264986,"United States of America, Government of",United States,World Food Programme,El Salvador,El Salvador/Food Security - Food Assistance,Food Security,4500000,commitment,incoming,2023,2022-12-20
SLV,272346,"Luxembourg, Government of",Luxembourg,United Nations High Commissioner for Refugees,El Salvador,The Luxembourgish Government has Strategic Partnership Framework (SPF) with the UNHCR. The UNHCR guarantees the rights of displaced people and refugees.,Protection,58275,commitment,incoming,2023,2022-01-01
SLV,272709,"United States of America, Government of",United States,Alight,El Salvador,El Salvador/Food Security,Protection,750000,commitment,incoming,2023,2023-03-02
SLV,273040,"United States of America, Government of",United States,World Vision USA,Guatemala,"Central America Regional/ER4 Disaster Risk Reduction Policy and Practice (DRRPP),Shelter and Settlements (USAID/BHA)",Emergency Shelter and NFI,1140000,commitment,incoming,2023,2023-03-02
